,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle,Base Action,Action
18954,0.682577005,0.592285402,0.390062542,0.60457208,0.561903974,0.603602311,0.748788657,0.270976346,0.108331388,0,transition
18955,0.680463434,0.578085299,0.402250953,0.348632884,0.500837085,0.628524562,0.80900943,0.80784617,0.622258913,1,transition
18956,0.63057293,0.577161323,0.398967174,0.484536075,0.555134944,0.624987689,0.80159788,0.876382503,0.737391487,1,transition
18957,0.606152245,0.54969384,0.393816486,0.468130835,0.542324374,0.596593949,0.798399127,0.848097712,0.702424872,1,transition
18958,0.648606986,0.571294697,0.37834422,0.500851826,0.581337651,0.640576492,0.802014616,0.912952971,0.791860527,1,transition
18959,0.61463714,0.558641867,0.367559391,0.456387238,0.364291223,0.613361847,0.80498987,0.743770194,0.447295746,2,transition
18960,0.579602683,0.571294697,0.362401943,0.42339778,0.404468545,0.630391416,0.806575705,0.757040399,0.499454357,2,transition
18961,0.646493415,0.558951343,0.363805447,0.516629523,0.402649364,0.585491997,0.792896979,0.708677865,0.418748223,2,transition
18962,0.588102884,0.577470748,0.370373082,0.392828633,0.481985582,0.587587967,0.812436532,0.799844796,0.593703723,2,transition
18963,0.518034142,0.554632041,0.379277713,0.633527437,0.604556221,0.575863775,0.750601315,0.232449127,0.119716114,0,transition
18964,0.543519092,0.550617815,0.396160166,0.490004239,0.601135529,0.596790648,0.794598697,0.89600127,0.807088403,1,transition
18965,0.540325951,0.561113218,0.388659038,0.626535347,0.644296987,0.562796757,0.748813144,0.180816634,0.115583575,0,transition
18966,0.588102884,0.565432469,0.39521999,0.275840481,0.469611871,0.639790384,0.81741861,0.804243593,0.59886819,2,transition
18967,0.611459131,0.574999448,0.399437262,0.466786634,0.462842537,0.609529927,0.799647273,0.758831528,0.537494593,2,transition
18968,0.535019065,0.587961701,0.414439363,0.533662307,0.593856678,0.606287965,0.803140901,0.945415305,0.848682881,1,transition
18969,0.619944027,0.563270644,0.413969352,0.350515514,0.46728287,0.570689302,0.829318763,0.805055304,0.581900523,2,transition
18970,0.561568627,0.602161856,0.422410578,0.531062271,0.576388106,0.609169907,0.804411985,0.944685895,0.83195775,1,transition
18971,0.588102884,0.542593762,0.431785221,0.292873265,0.452507499,0.648272476,0.816539436,0.79899592,0.583600892,2,transition
18972,0.536083503,0.59999998,0.434598989,0.57445075,0.670208759,0.593810357,0.730416872,0.140896072,0.067713114,0,transition
18973,0.611459131,0.566356445,0.445853906,0.586911753,0.519106109,0.597936913,0.755999173,0.368928937,0.174408133,0,transition
18974,0.519098581,0.556174967,0.444913807,0.619273667,0.531260935,0.606058575,0.755116281,0.353533678,0.168214536,0,transition
18975,0.61889472,0.53209841,0.443980314,0.470013464,0.557100049,0.582118994,0.796681049,0.858937677,0.732498607,1,transition
18976,0.561568627,0.608952458,0.441629951,0.592021588,0.520852935,0.676371306,0.755850831,0.367913929,0.171621037,0,transition
18977,0.592345332,0.559875318,0.430381717,0.432272875,0.448285748,0.656787261,0.800977215,0.762700254,0.54224044,2,transition
18978,0.619944027,0.570061246,0.436479263,0.502823945,0.355193192,0.581136461,0.799009955,0.734577541,0.402323927,2,transition
18979,0.571117787,0.575618398,0.433195408,0.572389143,0.572748832,0.596626778,0.740607214,0.207092291,0.053686993,0,transition
18980,0.543519092,0.524693307,0.428978213,0.452891192,0.598223745,0.53613883,0.763555801,0.834859147,0.789779765,1,transition
18981,0.536083503,0.562346669,0.42194049,0.439533806,0.626246241,0.569117496,0.772892041,0.849375199,0.798413133,1,transition
18982,0.59978092,0.579013673,0.412565771,0.575167782,0.459567768,0.632225441,0.776444958,0.589733151,0.361826213,2,transition
18983,0.579602683,0.577161323,0.416319714,0.60242061,0.587524507,0.645488884,0.745300071,0.240397982,0.083288724,0,transition
18984,0.509549247,0.574689972,0.405534808,0.393186587,0.535555648,0.5836908,0.801603826,0.820653041,0.667072856,1,transition
18985,0.594474034,0.569446695,0.397093582,0.428507615,0.600407735,0.639299049,0.794962766,0.866030775,0.75444711,1,transition
18986,0.535019065,0.5830235,0.397093582,0.498342028,0.565542944,0.600032883,0.801063723,0.89468866,0.772489787,1,transition
18987,0.566875339,0.536422111,0.403191128,0.461049255,0.530315168,0.617913944,0.799983869,0.834143665,0.673896391,1,transition
18988,0.536083503,0.565122994,0.413035859,0.566383299,0.481039207,0.606156924,0.775582916,0.581577824,0.365039393,2,transition
18989,0.528647741,0.563270644,0.424754181,0.347557149,0.464516706,0.600163651,0.820227717,0.80018974,0.582383888,2,
18990,0.571117787,0.560184793,0.442570127,0.491349188,0.526894172,0.562043477,0.799781697,0.838340305,0.682766447,1,
18991,0.469207903,0.569137271,0.455228548,0.483998394,0.528131178,0.610414248,0.802745638,0.840283718,0.679216981,1,
18992,0.637993388,0.541360312,0.466946948,0.445898727,0.536356404,0.582151686,0.801912351,0.83172545,0.681259633,1,
