,Component 5,Component 6,Component 7,Component 9,Base Action,Action
48,0.036582241689222715,0.012775584324963268,-0.046893742698658876,-0.01770880858820255,4,Idle 1
49,0.036974173009848274,-0.0826619326513808,-0.020341990189622614,-0.015086999607277178,0,Idle 1
50,-0.009477989852676722,-0.04199155471934184,0.04563550561284557,-0.008259242912709864,0,Idle 1
51,-0.004988110968823506,-0.002421318397501803,-0.01755979409804295,0.0005528099881521867,4,Idle 1
52,0.025834261845226157,-0.02777932366059457,-0.014729602334955,-0.004447776272012888,4,Idle 1
53,0.06868315291401511,0.04954313242820474,-0.04836603018839927,-0.028517498736467316,4,Idle 1
54,-0.015177472606275682,-0.05553889715292692,-0.0013603350233106512,-0.012577915970772563,0,Idle 1
55,0.029506952464712438,-0.017236899344538488,-0.03654421281637443,-0.007099735322740368,4,Idle 1
56,0.13484337982367128,-0.16100602581340714,0.029497998751060604,-0.010230915583678201,3,Idle 1
57,0.019101800334877687,0.016809946875535012,-0.02151212519688049,-0.013787464451483154,4,Idle 1
58,-0.12551410433429372,0.033701417840042616,-0.05074581369145206,0.0035474177971595313,2,Go straight 1
59,-0.04454502632585782,-0.0416639425277777,-0.006891312126639565,-0.014362928013081063,0,Go straight 1
60,-0.06772299422181918,-0.10385271688168907,0.10289939011177983,-0.04905591302584471,0,Go straight 1
61,0.11146033024050325,-0.1561262608765658,0.1369425423951342,0.0004263533645499425,3,Go straight 1
62,0.012702208343681437,0.1353465952803045,0.0020603846597718038,-0.02440178558606486,4,Go straight 1
63,0.05597992144598486,0.10716935792450873,-0.07501029294761986,0.009119941236978886,4,Go straight 1
64,0.057553333431301285,-0.04207143185925286,0.03744564278910733,0.010911755726487674,3,Go straight 1
65,0.09172902078722774,0.05650891343246185,0.00861550789971551,-0.03611808403810769,4,Go straight 1
66,0.25262382759018137,-0.12033494701645661,0.0070703197695292834,0.012615962504746727,3,Go straight 1
67,-0.10228923238824858,-0.013068845643820031,0.10632341343772857,-0.018572686673126344,2,Go straight 1
68,0.04540418783986206,-0.026678988086682065,0.009547046874576774,-0.016737082534992575,4,Go straight 1
69,-0.09836523171867845,-0.023678845486917007,0.04500172269521589,-0.003219026529643022,2,Go straight 1
70,0.06664992625264539,0.18789683990321016,-0.1408065301050347,0.011332096499025534,4,Go straight 1
71,0.058047433252904485,0.03851217332489273,-0.09124804203976467,-0.027870285541572757,4,Go straight 1
72,0.22518933819878265,-0.008122753091455348,-0.013898060925136716,0.15939594997434672,3,Go straight 1
73,-0.11232057418952646,-0.11916835941798722,0.05787872139598809,-0.0023526659531614715,0,Go straight 1
74,0.25608344163222035,0.17334624401713633,0.05422414522387617,0.13729174150931778,1,Go straight 1
75,0.22881688537214534,0.04781661286971318,0.03076161909193486,0.1520549276800488,3,Go straight 1
76,-0.20722724242556204,-0.08577560491413595,-0.16832271471163412,-0.05214679901379458,0,Go straight 1
77,0.05589259538130612,-0.22072000050220583,-0.1064006348633669,-0.00940477024403901,0,Go straight 1
78,0.1292208364339981,0.06911832827169512,-0.00950664140343406,-0.170692165373616,4,Go straight 1
79,0.03254573149459529,0.0482712623322487,-0.0815077250351114,0.04140804468505969,4,Go straight 1
80,0.17660027504350864,-0.151272593482007,0.05968483087991602,0.09356867737695138,3,Go straight 1
81,-0.22697705958113204,-0.017455633205415454,-0.07332046280355091,-0.027751262645434524,2,Go straight 1
82,0.04045001892921676,-0.027284197156411706,-0.06391113076974493,0.07008318889729352,4,Go straight 1
83,-0.1825039210172726,-0.021397746455404106,9.00655170997524e-05,-0.030018329038597934,2,Go straight 1
84,0.05310817734702424,-0.11719222734778158,-0.07823180086415864,0.004842834008749908,0,Go straight 1
85,0.0833097812065466,-0.17516241813740346,0.009998301216983349,0.00589336044699133,3,Go straight 1
86,-0.10326471225168633,-0.09302004360940083,0.018371396410336353,-0.03623697477390827,0,Go straight 1
87,-0.1672113021501445,0.09074941346050779,-0.14164689086168344,0.0007448445598097958,2,Go straight 1
88,0.14490958429886136,0.013434786568599677,-0.05962856393959162,0.11951429229714643,4,Go straight 1
89,-0.05797235825180244,0.048620975380004594,0.019674255487194786,0.0010009978214213621,2,Go straight 1
90,-0.001385654754366326,0.09464507908954867,0.049434140790872785,-0.051736177225306046,4,Go straight 1
91,-0.030009594610294597,-0.07906451554341427,0.16830320785347405,0.02524714872014266,3,Go straight 1
92,0.12131786022617624,-0.14213785844448915,-0.05651759615450278,0.04156498125117244,3,Go straight 1
93,0.05467365530551158,-0.2108689867892341,-0.15836356980734273,0.052868933718727966,0,Go straight 1
94,0.07340720061007339,0.11901046178613195,-0.1314010624548398,0.052386312518635854,4,Go straight 1
95,0.048050856362947855,0.07545562260274388,-0.022352588097424856,0.012436828318231301,4,Go straight 1
96,-0.019051363009480116,-0.039064389276747526,0.03551941589653938,0.0009660840447726969,0,Go straight 1
97,-0.16091313450205647,-0.04274948216809089,0.16279311810616814,0.016006044578809154,2,Go straight 1
98,-0.2422834117881561,-0.04872268551849284,0.26721831827084314,0.06304094401336355,2,Go straight 1
99,0.07423544211722247,-0.004238660272350867,-0.0862419264997225,0.06947079564131108,4,Go straight 1
100,0.047859921038096845,-0.14356954917893822,0.04672508691492515,0.007544752865158754,3,Go straight 1
101,-0.17625757517440113,0.025156389072159772,0.11849317055081623,0.00242466595200341,2,Go straight 1
102,-0.017700658722466848,-0.08339536283363619,0.05557453153437331,-0.018997698598167707,0,Go straight 1
103,0.48138697344763176,0.353769631168887,0.17950754514640144,-0.0037474611927248275,1,Go straight 1
104,0.11995411544632521,-0.17223668714229026,0.07714301292469414,0.023903366302987956,3,Go straight 1
105,0.11129470573864324,0.014558415768675257,0.030388694363626834,-0.013552427290757178,3,Go straight 1
106,0.00569793123657571,-0.006904416027839685,-0.013935675834249733,-0.005709054284379584,4,Go straight 1
107,0.10805737245075918,0.11019779381760213,0.05427628943358371,-0.0011914974052002773,4,Go straight 1
108,-0.12543231664544244,0.15494579486186752,0.03507678676281819,-0.015193916682201422,2,Go straight 1
109,-0.02863235775904211,0.02348579205776471,-0.03902586907329737,0.07190262707170893,4,Go straight 1
110,0.13099831656098515,-0.15892200536338316,0.18457786278684676,-0.019299013708143572,3,Turn right 1
111,0.09866739342367965,0.023826295381193196,0.08194613211573727,0.03610208874827398,3,Turn right 1
112,-0.10547443737918745,0.17130579243285096,0.2272846932139011,7.48664970461454e-05,2,Turn right 1
113,0.18046451482604992,-0.11100340950132358,0.09559377916367438,0.03609824393200606,3,Turn right 1
114,0.1181345630466677,0.0812332852465084,0.03335342537804791,0.04942733589435826,4,Turn right 1
115,0.08892672350120433,0.13054917438476682,0.14726618728277163,0.005762376231238037,4,Turn right 1
116,0.16043615853071738,-0.00934345522664606,0.005830616833861173,-0.02669112920704484,3,Turn right 1
117,0.13561482106760595,-0.012790497464129922,0.2656058615401348,0.057418972380197525,3,Turn right 1
118,-0.18499358231356583,0.17459632692493435,-0.11214040606946196,-0.029526563586189155,2,Turn right 1
119,0.07918514677906395,-0.05677467373519636,0.1319871582038823,-0.011532612626392953,3,Turn right 1
120,-0.0850811279340274,0.08268812232525977,0.07607853275311693,0.08605798143502959,2,Turn right 1
