,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle
24228,0.6167658432169275,0.5592608176848237,0.4219404904107069,0.3584047369784763,0.5837396139652513,0.6021941002607687,0.5488268470829483,0.8155823660648296,0.2146721895817455
24240,0.6231371676652153,0.5685183206484777,0.4228805893119688,0.4300315419143515,0.5560813195626062,0.6126085669545007,0.5225650768726829,0.8162727667172649,0.2060285986748422
24252,0.5934095960508642,0.5623466688619847,0.4214704025542054,0.3726581326767343,0.5779166551397172,0.6082527573298083,0.5420859782185483,0.81571245524121,0.2119095351119663
24264,0.5605041889649398,0.5561749665076628,0.4228805893119688,0.4632898396394696,0.4629154983913445,0.5764533226385012,0.4169896602207646,0.6588392177800618,0.1840910361856824
24276,0.6050878065978132,0.5620371937504839,0.4228805893119688,0.3650381243793836,0.5464734679012206,0.589356471668361,0.5162341625036891,0.7847541208983566,0.1989707178222459
24288,0.6167658432169275,0.5638895438827365,0.4210069973191934,0.3904974366578151,0.529150515003832,0.6024563187964593,0.4969612700136932,0.7711216810033348,0.1981437224439837
24300,0.5360835034492498,0.5567895173295696,0.4210069973191934,0.4116538087685324,0.5132104920269485,0.5808743791288818,0.4812717799423933,0.75291983794923,0.1934777260026525
24312,0.5912808932794459,0.5608037432734042,0.4266277732975195,0.4485882522095066,0.5184509725654551,0.6130996282706873,0.4860219486061725,0.7636989015161029,0.1989598619421542
24324,0.6326865015129113,0.564508494105738,0.4219404904107069,0.4236669946666307,0.5705654508293779,0.6189619975991343,0.5340789028040864,0.8304987211139234,0.2089865476439108
24336,0.5859740071807846,0.5728420217038132,0.4102221679760636,0.4215151501535908,0.6838924385137319,0.5850661824811209,0.6606301863594183,0.9027748449210318,0.2533439242186083
24348,0.5275986079511805,0.5632706442275636,0.3835016675444968,0.6784405923170127,0.400538640411772,0.5821845143061619,0.3524327774659745,0.3759168202804414,0.2164906330038629
24360,0.6082658159972213,0.5512367651982494,0.3956900778356417,0.4203495521078116,0.6134362783650358,0.6080236409775486,0.578191687524468,0.8673174867193454,0.226306519782712
24372,0.5742957966338355,0.5592608176848237,0.4285081247235257,0.478529856234171,0.5370112358115919,0.6112003562998654,0.5050189534405103,0.8140762545964657,0.2052949081941881
24384,0.6337509398625378,0.5876566761998823,0.4355390874596152,0.6670549497291379,0.4288520708835946,0.6157852822768175,0.4007229428553266,0.3632298191732663,0.2067117118885053
24396,0.636928949261946,0.561113218384905,0.4299116288597995,0.3676377861949458,0.5235458335322049,0.6001309588033752,0.4912030252581926,0.7627472388975196,0.1954187851986255
24408,0.6730276713967501,0.5595702927963245,0.4256943570177472,0.5066786933320153,0.8053713861493594,0.5512034695465384,0.8100359299130526,0.9694779172928468,0.27769054567805
24420,0.6135878338175195,0.5796281737443844,0.3849051716807707,0.371133831473918,0.5859959573088409,0.568921071263256,0.5682739376786301,0.8199740844133717,0.2329690517508433
24432,0.5456328372969458,0.5604942681619034,0.3849051716807707,0.2787988461590305,0.4553460167270983,0.5697069061550365,0.4210813328173486,0.7148357175421114,0.1517519817757052
24444,0.4628367525516518,0.5743849472923936,0.3928763101298633,0.4337069387718423,0.5389766440191245,0.5680694423622594,0.5161279744637297,0.7934207496292931,0.2130519633958651
24456,0.4946778952157844,0.5666659199483965,0.4303817167163011,0.4750338109551988,0.4533079507374157,0.5893891634941462,0.4113903423812567,0.6340148020477292,0.1916839449132561
24468,0.596602911099744,0.5787041983788055,0.4500711776000371,0.3359030408142786,0.5400683347961158,0.590011402471119,0.508273906899488,0.7746317548290813,0.2032864311992872
24480,0.4787572369198006,0.5663564448368957,0.4186633942816577,0.3929181213240415,0.4843875450577051,0.5906336414480919,0.4497246391411957,0.7188500883672825,0.1860787756660493
24492,0.4851285613680885,0.5620371937504839,0.4866430910949613,0.4173911871352124,0.5727488323833607,0.6260356059122141,0.5336104087481899,0.8297429980237114,0.2120134453693561
24504,0.4585943048026171,0.5799376488558852,0.6661988319545753,0.4910803480094596,0.5151026344374174,0.595808114576232,0.4833088856186708,0.7626591327936532,0.1970825462472322
24516,0.3768473527574779,0.5524702156753291,0.7388658884664328,0.4162259635186158,0.5587742176140096,0.6155558923527938,0.5239175242110508,0.813316669397002,0.1861609741632559
24528,0.4554009897537373,0.565122994359816,0.6849481171253082,0.5034511137770469,0.5837396139652513,0.5722285538887133,0.5764398216277692,0.9173591974992648,0.1866945545875543
24540,0.4692079030721047,0.5679038203943997,0.3835016675444968,0.4533397585381086,0.5434163689166968,0.5941052671318846,0.5149682519069159,0.8096719496616569,0.1566627922308975
24552,0.7059332524105093,0.5617277186389831,0.4519447695928125,0.3477365007046757,0.5271854108037561,0.5974455783690089,0.4947304333146804,0.7647289177180681,0.1393743578155419
24564,0.5732466639336806,0.5632706442275636,0.4191267227049285,0.4456298872369073,0.4410075050320834,0.5863107972209487,0.3974566247900656,0.6450272314822698,0.1334561495234366
24576,0.6305729304631298,0.5623466688619847,0.4205369862744331,0.3496191306353464,0.600844289508733,0.5979040846452923,0.5659105730969701,0.8250434223333719,0.1653848516659503
24588,0.5859740071807846,0.5580229678066493,0.4238207650249718,0.3411926018784363,0.6098693588756345,0.5985590154480505,0.5730280721164769,0.8282229107211485,0.167590627322619
24600,0.5679397778350194,0.5623466688619847,0.4247541813047442,0.3703273110143586,0.5379576110242832,0.6137873876851123,0.5036261972642315,0.7777366128179349,0.1488846376520168
24612,0.5838604361310031,0.5595702927963245,0.4214704025542054,0.4415957872223794,0.5332263429757405,0.5834288554742257,0.5053471064469399,0.7875346172799771,0.1547830270040574
24624,0.5413903895479111,0.5601847930504026,0.4224105782672085,0.5012105295477045,0.402939995312205,0.6116587257902668,0.3720067136411619,0.5610552793977643,0.1437080808192994
24636,0.5721822255840541,0.5601847930504026,0.4224105782672085,0.3896010531944052,0.5722396198933968,0.6073031897373383,0.5380342593159289,0.8166507532946848,0.1596640812135627
24648,0.5806671210821234,0.5623466688619847,0.4238207650249718,0.3733751645616258,0.5413783029270142,0.6079581205400963,0.5077935155213886,0.7816322307298531,0.1474212928512554
24660,0.5594397506153131,0.5614182435274823,0.4247541813047442,0.4442853120417923,0.5469826803911846,0.5776651087666619,0.5237587156763734,0.8101757465318259,0.1574786812087583
24672,0.5732466639336806,0.5641990189942372,0.4238207650249718,0.4166741552503209,0.5910911222830474,0.5963648331157526,0.5629549467941097,0.8465061637040862,0.1701715710610183
24684,0.5562617412159051,0.5608037432734042,0.4224105782672085,0.42841812656605,0.4200446708556867,0.5425249524805846,0.3356892793525584,0.6418805293456953,0.1044759600849887
24696,0.6411865287326174,0.564508494105738,0.4210069973191934,0.4621246160228731,0.5779166551397172,0.5792697439477719,0.5616598552030778,0.8645769728932167,0.17038991342881
24708,0.6199440265441705,0.5598753179389018,0.4228805893119688,0.3689827358192435,0.4484313671245728,0.5584737759578569,0.3981891683700752,0.6914350308757574,0.105428577480824
24720,0.6178302815665541,0.5672848701713982,0.4233506771684703,0.5050652779837138,0.4062883334402426,0.6057638014219167,0.3710348622319684,0.558587697220415,0.1440153578970724
24732,0.6390578259611992,0.5635801193390643,0.4214704025542054,0.4738682129094196,0.5814106128395117,0.5750122833721988,0.5695825247396233,0.8794664043173824,0.1740581988185406
24744,0.5700533488848009,0.5577178920962433,0.4233506771684703,0.401165298502433,0.4674284890859803,0.5976420028954836,0.4331602519580566,0.697457531802108,0.129390956456202
24756,0.5838604361310031,0.5586418674618222,0.4233506771684703,0.3807259582766072,0.4543266797248003,0.6016375185071299,0.4222553795133321,0.69088544439374,0.1286240859522935
24768,0.6210082909659621,0.5663564448368957,0.4219404904107069,0.3624380881346387,0.4239751832632951,0.5947930265463097,0.3913443607107094,0.6726173619982231,0.116813389453223
24780,0.5870384455304112,0.5592608176848237,0.4228805893119688,0.480412111735659,0.4249942162581364,0.598788268586192,0.385915216012162,0.5979539267592936,0.1422682849276599
24792,0.5615686273145664,0.5614182435274823,0.4238207650249718,0.3828778027896472,0.5389766440191245,0.6108728908984863,0.5052880933611877,0.7808999581447382,0.1499388549512736
24804,0.5881028838800378,0.5626560934056568,0.4219404904107069,0.4600630089428666,0.4305259359401567,0.5925003583790107,0.3888273371815942,0.6226209684858554,0.1370938714353708
24816,0.5785535500323419,0.558951342573323,0.4224105782672085,0.3909460028187029,0.5464734679012206,0.6038645294510947,0.5140448776463995,0.7906871264729085,0.1519640333001616
24828,0.6507358625803134,0.5629655685171576,0.4219404904107069,0.3701475850066573,0.5518595680114842,0.6011136285792762,0.5192039945644036,0.7911673894831042,0.151570772084945
24840,0.5562617412159051,0.5604942681619034,0.4256943570177472,0.3698791192826536,0.5036756021551697,0.6157524536651504,0.4719542825565487,0.7423593308670663,0.139755399206758
