,4,5,6,8,Base Action,Action
173,0.070697258,0.007837687,0.127207115,0.017025231,0,Turn right 1
174,0.030665145,0.005939312,0.059201389,-0.012354063,4,Turn right 1
175,-0.004938965,0.054595008,0.025616525,-0.014486388,4,Turn right 1
176,-0.066613606,0.042695186,0.02490895,-0.00170074,2,Turn right 1
177,0.037929249,0.052341854,0.018350398,-0.026972078,4,Turn right 1
178,-0.079756878,0.006895102,0.050693372,-0.002610934,7,Turn right 1
179,-0.030631163,0.027102397,0.069049905,0.005646075,0,Turn right 1
180,-0.013251553,-0.024362631,0.021666907,0.001474673,4,Turn right 1
181,0.014287412,-0.14215932,0.053942383,-0.002196768,1,Turn right 1
182,0.011836165,-0.094457743,0.052992059,-0.011375702,1,Turn right 1
183,-0.104757048,0.085500202,-0.135183774,-0.013721851,2,Trun left 1
184,-0.119382826,0.088278078,0.000271819,0.037323361,2,Trun left 1
185,0.406159648,0.395717496,0.012459747,-0.10411323,5,Trun left 1
186,0.115985421,-0.248559482,0.142830341,-0.025243853,1,Trun left 1
187,-0.139790999,0.014993565,0.014278078,-0.0129147,2,Trun left 1
188,0.056060808,-0.248618339,0.046750249,0.05096624,1,Trun left 1
189,0.133992993,-0.164385506,-0.110436809,-0.038945322,1,Trun left 1
190,-0.058458947,0.082943845,-0.042405959,0.003676925,2,Trun left 1
191,0.129512179,0.110955962,-0.042760151,-0.075762532,8,Trun left 1
192,-0.157502286,0.103383154,0.041327305,0.009168533,2,Trun left 1
193,-0.196288946,0.105643315,-0.013289448,-0.025057906,2,Trun left 1
194,-0.089484393,0.17044927,0.289528421,-0.023913659,0,Trun left 1
195,-0.069597907,0.085189539,0.02046798,0.037351218,2,Trun left 1
196,0.205342506,-0.148318909,0.013853121,0.037153994,3,Trun left 1
197,0.061304656,0.114355779,-0.041120562,0.039177146,8,Trun left 1
198,-0.194472743,0.228294986,0.007516628,0.022121504,2,Trun left 1
199,0.175831225,0.590642468,-0.180358035,-0.01925502,5,Trun left 1
200,0.206996718,0.019852962,-0.212048133,-0.023128833,3,Trun left 1
201,-0.003302736,-0.158826332,0.108388768,-0.024551632,1,Trun left 1
202,0.220046802,-0.080331708,0.018340458,0.001615055,3,Trun left 1
203,-0.033707201,0.160813439,-0.013878302,0.074143364,8,Trun left 1
204,-0.186406974,0.101843619,-0.017333197,0.012543491,2,Trun left 1
205,0.006378013,0.107879598,0.002298243,0.000839128,8,Trun left 1
206,-0.044025446,0.175908208,0.046142243,-0.003316326,8,Trun left 1
207,-0.028254087,-0.007114139,-0.022439527,-0.011926097,4,Trun left 1
208,0.01647101,0.011805859,0.011187017,-0.016250329,4,Trun left 1
209,-0.01156041,-0.164336572,0.001695291,0.055796057,1,Trun left 1
210,0.142058665,0.178971331,-0.057070204,-0.106684691,8,Trun left 1
211,-0.078487575,-0.018103135,0.095377636,-0.103114751,7,Trun left 1
212,-0.043831637,-0.025913108,-0.022807546,-0.031087584,4,Trun left 1
213,0.067855995,0.056065053,0.007574453,0.084255545,4,Trun left 1
214,-0.006785707,0.051296691,-0.036661388,-0.033843009,4,Trun left 1
215,0.039295313,-0.023418318,-0.069010253,0.042097614,4,Trun left 1
216,-0.192683886,0.070661005,-0.05589541,-0.012444695,2,Trun left 1
217,-0.12779559,0.061167427,0.007469436,-0.000139343,2,Trun left 1
218,0.138598065,-0.072411739,0.04885082,0.041761506,3,Trun left 1
219,0.028280503,0.080568871,-0.075631839,0.002370043,8,Trun left 1
220,0.143647306,0.018914327,-0.030185004,-0.010749933,3,Trun left 1
221,0.267945317,0.131152637,-0.102014254,-0.094302863,8,Trun left 1
222,0.00602828,-0.006168056,-0.011286555,-0.031339559,4,Trun left 1
223,0.121444199,-0.06950747,-0.037688922,0.064254063,3,Trun left 1
224,-0.107417689,-0.0258493,0.006844641,-0.026958442,7,Trun left 1
225,0.167856955,-0.008845225,-0.023841955,0.01351388,3,Trun left 1
226,0.074361973,0.027495249,0.044683431,0.031001234,4,Trun left 1
227,-0.207377189,0.131440492,-0.056432407,0.095274736,2,Trun left 1
228,-0.097407776,0.086749252,0.000580831,-0.007902406,2,Trun left 1
229,-0.030525008,0.147194749,0.008755528,0.120102136,8,Trun left 1
230,0.014620675,-0.071621071,0.007951893,-0.01061615,4,Trun left 1
231,-0.209220551,0.099833658,-0.09622249,0.019147303,2,Trun left 1
232,0.028569137,0.030454757,0.007543215,0.035697569,4,Trun left 1
233,0.14062223,-0.001445929,-0.033576443,-0.010783023,3,Trun left 1
234,-0.07979239,-0.008141819,-0.117284861,-0.031466797,6,Trun left 1
235,0.151143808,-0.161441934,-0.011748064,0.006953623,1,Trun left 1
236,0.036936647,-0.000121023,-0.0133453,-0.017979567,4,Trun left 1
237,0.027917189,-0.033787543,0.142747797,0.014213002,0,Trun left 1
238,-0.095381829,-0.067613425,0.053592597,-0.016273155,7,Trun left 1
239,-0.120611052,-0.00193326,0.04007704,-0.018634192,7,Trun left 1
240,-0.183742435,0.044090119,-0.002724613,-0.032869723,2,Trun left 1
241,0.059026305,-0.014931553,-0.016078382,-0.017274774,4,Trun left 1
242,0.127880393,0.097293693,-0.147721581,-0.052821287,8,Trun left 1
243,-0.068748787,0.280313079,-0.06239048,0.015168682,8,Trun left 1
244,-0.053741996,0.100903449,0.072026486,-0.010330185,2,Trun left 1
245,0.144545858,-0.032098185,-0.011865923,0.001441904,3,Trun left 1
246,-0.1310481,0.103396551,-0.000951435,-0.007076909,2,Trun left 1
247,-0.075211545,0.270691101,0.055403499,0.000336392,8,Trun left 1
248,0.100702204,0.101848253,-0.025540178,0.049268103,8,Trun left 1
249,-0.082946347,0.050694085,0.076867827,-0.016933959,2,Trun left 1
250,0.014707452,-0.021329105,0.056572647,-0.037758749,4,Trun left 1
251,-0.137852852,0.136426039,0.001315409,-0.009024849,2,Trun left 1
252,-0.113443575,-0.047496517,0.004234693,0.01723777,7,Trun left 1
253,-0.054983803,0.113119312,0.019851464,-0.007725421,2,Trun left 1
254,-0.378130277,0.257162908,-0.039234674,0.270805245,2,Trun left 1
255,-0.027687185,0.104565414,-0.048672928,-0.019185606,8,Trun left 1
256,-0.147214614,0.082787186,0.000297858,0.064699767,2,Trun left 1
257,0.015083967,-0.07963241,-0.081170395,-0.013981871,4,Trun left 1
258,0.050251548,0.027226383,-0.001776396,0.008529922,4,Two-stage left turn 1
259,0.076162109,0.027022963,-0.038893043,-0.011132591,4,Two-stage left turn 1
260,-0.090105745,0.058961862,-0.042726086,-0.014914296,2,Two-stage left turn 1
261,-0.002626295,-0.097922365,-0.0992686,-0.009296845,6,Two-stage left turn 1
262,0.001043457,0.046033458,-0.046354465,-0.004666426,4,Two-stage left turn 1
263,0.028602789,0.003369914,-0.116559723,-0.008875973,4,Two-stage left turn 1
264,0.109664385,-0.095852994,-0.046727701,-0.003975479,1,Two-stage left turn 1
265,0.059376073,-0.101334717,-0.204256971,-0.000574894,6,Two-stage left turn 1
266,-0.129975331,0.100112572,0.156210353,0.015957655,2,Two-stage left turn 1
267,-0.195722222,0.086155687,-0.016161319,-0.00059567,2,Two-stage left turn 1
268,-0.001005829,-0.100749678,-0.035428058,-0.012488119,1,Two-stage left turn 1
269,-0.161311824,-0.019282985,0.029258414,-0.01068098,7,Two-stage left turn 1
270,0.051598055,-0.077134478,0.017510618,-0.00235386,1,Two-stage left turn 1
271,-0.019385082,-0.164950664,0.086409388,-0.005010277,1,Two-stage left turn 1
272,-0.026632921,0.15903091,-0.103293932,-0.014104958,8,Two-stage left turn 1
273,-0.13232753,0.100650958,-0.052224469,-0.018120522,2,Two-stage left turn 1
274,-0.165898105,0.09117677,-0.065263279,0.019491484,2,Two-stage left turn 1
275,0.086077242,-0.019258891,-0.056529644,-0.006328732,4,Two-stage left turn 1
276,0.091519473,-0.05003242,-0.053388836,0.012043085,4,Two-stage left turn 1
277,-0.053672642,-0.013189731,-0.061715852,-0.006946086,4,Two-stage left turn 1
278,-0.059994522,0.048481275,-0.009248338,-0.000405867,2,Two-stage left turn 1
279,0.082735475,-0.070514677,-0.069083021,-0.004573855,4,Two-stage left turn 1
280,-0.016873711,-0.023480394,-0.091150951,0.011816623,4,Two-stage left turn 1
281,-0.011045557,-0.062209678,-0.139088958,-0.002325848,6,Two-stage left turn 1
282,0.02591404,-0.022422235,0.018792793,-0.008720762,4,Two-stage left turn 1
283,-0.02188751,-0.030250658,-0.064771255,-0.004141283,4,Two-stage left turn 1
284,0.01356919,-0.096833523,-0.021555404,-0.00703764,1,Two-stage left turn 1
285,0.013499053,0.0884701,-0.05145518,-0.030022341,8,Two-stage left turn 1
286,-0.007073614,0.004343671,-0.025034883,-0.009536826,4,Two-stage left turn 1
287,0.00994174,0.038827317,-0.038596202,-0.01063552,4,Two-stage left turn 1
288,-0.031241544,-0.120905225,-0.006180194,-0.008914856,1,Two-stage left turn 1
289,0.010419475,-0.117731755,0.036663816,-0.004562589,1,Two-stage left turn 1
290,-0.03178233,-0.048859295,-0.029147145,-0.004400035,4,Two-stage left turn 1
291,-0.005127299,-0.018157821,-0.036796274,-0.009644382,4,Two-stage left turn 1
292,-0.092613785,0.021661682,-0.032827832,0.000178824,2,Two-stage left turn 1
293,-0.041450595,0.028269617,0.004924404,-0.001513005,4,Two-stage left turn 1
